gauge_address,creator_address,internal_bribe_address,external_bribe_address,pool_address,contract_address,tx_hash,event_index,block_timestamp,block_number
0x6af999d0cb99773398ddb265adf0243fbf5125df,0xe247340f06fcb7eb904f16a48c548221375b5b96,0x82ed03a1b9728dda8ddbb605fecbdb332c775cfc,0x682857e6365595297d18fd672cdf48d041632826,0x9c8a59934fba9af82674eff5d13a24e7c7e7a1f1,0x09236cff45047dbee6b921e00704bed6d6b8cf7e,0x71520b1e35900abd87a7c16e830b5bebb12797897106c3dd37e030fc8d23f3dd,1,2022-06-01 22:21,10096889
0x0f1e2acec0af7e8f77c8f0c6df213ff7e7511a10,0x18a4cc59804ab711f30897c71f3c3580d91ff641,0xa37388205d24fcd5e55ff9a56ff7c0ffd28340f4,0xf1025d7b35dbaaaa7172125d014cca8aab8c5687,0x335bd4ffa921160fc86ce3843f80a9941e7456c6,0x09236cff45047dbee6b921e00704bed6d6b8cf7e,0xcfc2abf93b5b09fb378f801d02dc4e64a9ae521fd17b0433d395e3b9a2d3e78f,1,2022-06-01 23:56,10107955
0x14d60f07924e3a7226ddd368409243edf87e6205,0xe247340f06fcb7eb904f16a48c548221375b5b96,0x3d858e47708ccc713130b9581fe07487af381429,0x5a1e9b31cb553fcd0a7331d6aa3798b926635884,0xadf902b11e4ad36b227b84d856b229258b0b0465,0x09236cff45047dbee6b921e00704bed6d6b8cf7e,0xeb290db87b964a361b8d4b290693b649341d6b4309443699e77db37e54c8233a,1,2022-06-01 22:23,10097145
0x77b9a432b23ff5fc798c92a1435b0e51772bc538,0xe247340f06fcb7eb904f16a48c548221375b5b96,0x2bdf6177c087d0f2207b7fbe7b4eb9076d8a7d57,0x451b04f34640ecb78ff839c96e35fec8c9bb8fa4,0x986d353a3700530be4e75794830f57e657bc68cb,0x09236cff45047dbee6b921e00704bed6d6b8cf7e,0xbcf10fd8d1af39e474e126b41a6196e268854ce7108332c6867ee0d12c756861,1,2022-06-01 22:24,10097248
0xbf6c935a2b6ec453704ea72c8e14592f2fb27130,0xe247340f06fcb7eb904f16a48c548221375b5b96,0xeecf5fc18b994db8e99bd905da4d921dca6fb24c,0x4da5a8f23a0853c8fa61a28db847ba29784ffc70,0xac49498b97312a6716ef312f389b7e4d183a2a7c,0x09236cff45047dbee6b921e00704bed6d6b8cf7e,0xbd1e81c14f7babac5478bdc7b24cfcca456b2e675238ddbc67c0439b0777ab93,1,2022-06-01 22:32,10098142
0x1d87cee5c2f88b60588dd97e24d4b7c3d4f74935,0xe247340f06fcb7eb904f16a48c548221375b5b96,0x8aacd49b3c7a1cb6c54926a314558fd7569d6020,0xe440a5bcfc6ab7d186b24f00293c47d63a11d9f1,0xe75a3f4bf99882ad9f8aebab2115873315425d00,0x09236cff45047dbee6b921e00704bed6d6b8cf7e,0x987e6b4d5a4deeeafaa0a9598590fde5380eac4ace937a34f584c300f7226e9a,1,2022-06-01 23:56,10107983
0xe2cec8ab811b648ba7b1691ce08d5e800dd0a60a,0x46459033061d58df4742a35f63e9ec6aff5acf7d,0x468234f204b88722a6d0fee34a195a46d5604704,0xaf105f8d36fbf410937121dd5be888024547bc17,0x79c912fef520be002c2b6e57ec4324e260f38e50,0x09236cff45047dbee6b921e00704bed6d6b8cf7e,0x64db9e565168c031fd3a33b717d828c11a31da99f0e8b3f48dc32dd18c1a169b,1,2022-06-01 20:45,10084891
0xb3cac293c3bf27f4f0232f66acd2b79705b888d4,0xe247340f06fcb7eb904f16a48c548221375b5b96,0xbb2f4b89e69ac48e4ca37e1dbc12514e072466eb,0x87f10de37df12381819361e049e827f5aaddce6e,0xec24eb97cec2f0f6a2d61254990b0f163bbbfe1d,0x09236cff45047dbee6b921e00704bed6d6b8cf7e,0xced4109958434195254c6f041ecdc829e331d0237cc13b34f51a1d9c4fcc600a,1,2022-06-01 22:33,10098236
0x9f808baac4cc2efc80467440d918e5eb23b03f97,0xe247340f06fcb7eb904f16a48c548221375b5b96,0x4281a95fff92880db9daea8a0c74d79f198d2725,0xafa876c47509f11fe250735e8e94a58565b01aee,0x534f3135757db41c4f705b0eac697659f68c4014,0x09236cff45047dbee6b921e00704bed6d6b8cf7e,0x94bfd1ba2230975bb570f9910faeea2c1a88056cb056dc048a974d908e145ae6,1,2022-06-01 22:35,10098448
0x6b8edc43de878fd5cd5113c42747d32500db3873,0xe247340f06fcb7eb904f16a48c548221375b5b96,0x0e2d3f170c82cae9ab47102ea8aac392fa36838f,0x4ae8a7351f7e85151f8967454e4258dc0ea5e5ea,0xe8537b6ff1039cb9ed0b71713f697ddbadbb717d,0x09236cff45047dbee6b921e00704bed6d6b8cf7e,0x9dc48a8bfb27a0a6fbc0f20de3a65bc465063cbf2a94434dc26168a353fc5c75,1,2022-06-01 20:46,10085104
